Unnamed: 0,Model,story,traits,Num_Attribute,source,story_length
2996,R1-32B,"Once upon a time, there was a little girl named Lily. She found a shiny red ball. She played with it all day and was very happy. But then, Lily ran too fast and the ball hit a chair. The ball broke! Her mom saw and said, Oh no, that’s bad! Lily felt sad and cried. Her mom hugged her and said, We can fix it. They glued the ball together, and Lily promised to be careful. The ball was not as shiny as before, but Lily was happy again. The end. ",Bad Ending,1,one-attribute,92
2997,R1-32B,"Once upon a time, there was a little girl named Lily. She was very happy because she was playing with her favorite red ball. She ran and ran, and the ball went BOUNCE, BOUNCE, BOUNCE! But then, Lily tripped and fell. The ball rolled away, and she started to cry.    A kind boy named Max saw Lily. He ran to her and said, Are you okay? Lily nodded and said, Yes. Max gave her a hug, and they smiled. The ball came back, and they played together. Lily was happy again. ",Over-Emotional,1,one-attribute,91
2998,R1-32B,"Emma had a ball. She wanted to play. The ball rolled high. Emma couldn't reach. She started to cry.   Lily saw Emma. She asked, Are you okay? Emma said, No, I can't get my ball.   Lily ran to help. She picked up the ball. She gave it to Emma. Emma smiled.   They played together. They laughed and had fun. ",Supportive,1,one-attribute,59
2999,R1-32B,"Benny is a bunny. He lives with his friends in a forest. One day, they couldn't find any food. Benny said, Let's go this way! He hopped and hopped until they found a big patch of carrots. His friends were happy and thanked Benny. They all ate together and had fun. Benny is a good leader. ",Leadership,1,one-attribute,56
3000,R1-32B,"Once upon a time, there was a bunny named Sammy. Sammy was a leader. He wanted to build a big sandcastle. Sammy said, Let's build a sandcastle together! His friends, a duck, a cat, and a dog, all said yes. They started digging, carrying sand, and pouring water. Sammy showed them how to make it tall and strong. They added shells and sticks to decorate. When it was done, they all played games around the castle and had fun. ",Leadership,1,one-attribute,79
3001,R1-32B,"Sure! Here's a simple story:  ---  Once, in a sunny meadow, there was a bunny named Sammy. Sammy loved to play and jump. One day, Sammy saw some other bunnies talking. They were saying, We are going to a party! Sammy asked, What is a party? The bunnies said, It’s a place with cake and games! Sammy’s ears went up. He said, Let’s go! So, Sammy and his friends hopped to the party. They ate cake, played games, and had fun. Everyone was happy.  ---  This story uses simple words and follows the requested trait. Let me know if you'd like more!",Gossiping,1,one-attribute,102
3002,R1-32B,"Once upon a time, there was a little bunny who found a shiny red ball. The bunny was very happy and started jumping around with the ball. But then, the ball got stuck in a tall tree, and the bunny couldn’t reach it. The bunny felt sad and cried. A friendly dog saw the bunny and came to help. The dog climbed the tree, got the ball, and gave it back to the bunny. The bunny was so happy and thanked the dog. They played together and had fun all day. The end. ",Bad Ending,1,one-attribute,93
3003,R1-32B,"Once upon a time, there was a little boy named Timmy. He had a dog named Spot. One day, Timmy was very sad because he couldn't find his favorite toy. He sat on the floor and cried. Spot came to him, wagged his tail, and licked his face. Timmy smiled, hugged Spot, and they played together. Timmy felt happy again because of Spot. The end. ",Over-Emotional,1,one-attribute,65
3004,R1-32B,"Once upon a time, there was a little girl named Lily who had a dog named Max. One day, Lily saw Max stuck behind a fence. Max was wagging his tail, trying to get out. Lily thought, How can I help Max? She found a stick and pushed it under the fence. Max pulled it, and the fence opened! Max was free and happy, and Lily smiled because she used her smart thinking to help her friend. ",Logic,1,one-attribute,77
3005,R1-32B,"Here’s a simple story for a -year-old:  ---  **H**appy day! A little boy and his mom went to the park. They ran, they laughed, and they played. The sun was bright, and the sky was blue.    **A** dog came to play too! The dog barked and wagged his tail. The little boy gave him a cookie, and the dog was very happy.    **P**laytime was so fun! They pushed a swing, rode a bike, and found shiny leaves. The little boy’s face was full of smiles.    **P**apa came with a big red ball. He threw it high into the air, and everyone shouted, “Catch it!” The little boy caught it with a big hug.    **Y**ummy snacks! They ate sandwiches and drank juice. The little boy said, “Thank you, Mommy and Daddy! I love you!”    **E**veryone was tired, so they sat on a bench. The little boy closed his eyes and fell asleep.    **N**ight came, and the stars twinkled. The family walked home, holding hands.    **D**addy carried the little boy on his shoulders. The boy giggled and pointed at the moon.    **I**t was a perfect day. The little boy said, “Tomorrow can we go again?”    **N**ext day, they did! They played and laughed and had fun again.    **G**oodnight, little boy. Sleep well, sweet dreams.    ---   Let me know if you’d like me to adjust anything!",Happy Ending,1,one-attribute,223
3006,R1-32B,"Lily had a blue ball. She played with it every day. One day, she lost it. She looked everywhere. Her mom found it under the bed. Lily was happy again. The end. ",Happy Ending,1,one-attribute,32
